2024-05-28 12:59:23,826:INFO:Product ID: 134, Score: 8
2024-05-28 12:59:23,826:INFO:Product ID: 135, Score: 22
2024-05-28 12:59:23,826:INFO:Product ID: 136, Score: 25
2024-05-28 12:59:23,826:INFO:Product ID: 137, Score: 45
2024-05-28 12:59:23,826:INFO:Product ID: 138, Score: 29
2024-05-28 12:59:23,826:INFO:Product ID: 139, Score: 21
2024-05-28 12:59:23,827:INFO:Product ID: 140, Score: 35
2024-05-28 12:59:23,827:INFO:Product ID: 141, Score: 4
2024-05-28 12:59:23,827:INFO:Product ID: 142, Score: 27
2024-05-28 12:59:23,827:INFO:Product ID: 143, Score: 162
2024-05-28 12:59:23,827:INFO:Product ID: 144, Score: 25
2024-05-28 12:59:23,828:INFO:Product ID: 145, Score: 33
2024-05-28 12:59:23,828:INFO:Product ID: 146, Score: 168
2024-05-28 12:59:23,828:INFO:Product ID: 147, Score: 162
2024-05-28 12:59:23,828:INFO:Product ID: 148, Score: 168
2024-05-28 12:59:23,828:INFO:Product ID: 149, Score: 43
2024-05-28 12:59:23,828:INFO:Product ID: 150, Score: 163
2024-05-28 12:59:23,828:INFO:Product ID: 151, Score: 7
2024-05-28 12:59:23,829:INFO:Product ID: 152, Score: 41
2024-05-28 12:59:23,829:INFO:Product ID: 153, Score: 162
2024-05-28 12:59:23,829:INFO:Product ID: 154, Score: 25
2024-05-28 12:59:23,829:INFO:Product ID: 155, Score: 7
2024-05-28 12:59:23,829:INFO:Product ID: 156, Score: 162
2024-05-28 12:59:23,829:INFO:Product ID: 157, Score: 163
2024-05-28 12:59:23,829:INFO:Product ID: 158, Score: 29
2024-05-28 12:59:23,829:INFO:Product ID: 159, Score: 162
2024-05-28 12:59:23,830:INFO:Product ID: 160, Score: 39
2024-05-28 12:59:23,830:INFO:Product ID: 161, Score: 7
2024-05-28 12:59:23,830:INFO:Product ID: 162, Score: 29
2024-05-28 12:59:23,830:INFO:Product ID: 163, Score: 26
2024-05-28 12:59:23,830:INFO:Product ID: 164, Score: 8
2024-05-28 12:59:23,830:INFO:Product ID: 165, Score: 168
2024-05-28 12:59:23,830:INFO:Product ID: 166, Score: 2
2024-05-28 12:59:23,830:INFO:Product ID: 167, Score: 10
2024-05-28 12:59:23,830:INFO:Product ID: 168, Score: 162
2024-05-28 12:59:23,830:INFO:Product ID: 169, Score: 168
2024-05-28 12:59:23,831:INFO:Product ID: 170, Score: 44
2024-05-28 12:59:23,831:INFO:Product ID: 171, Score: 163
2024-05-28 12:59:23,831:INFO:Product ID: 172, Score: 164
2024-05-28 12:59:23,831:INFO:Product ID: 173, Score: 7
2024-05-28 12:59:23,831:INFO:Product ID: 174, Score: 39
2024-05-28 12:59:23,831:INFO:Product ID: 175, Score: 168
2024-05-28 12:59:23,831:INFO:Product ID: 176, Score: 162
2024-05-28 12:59:23,831:INFO:Product ID: 177, Score: 168
2024-05-28 12:59:23,831:INFO:Product ID: 178, Score: 28
2024-05-28 12:59:23,832:INFO:Product ID: 179, Score: 162
2024-05-28 12:59:23,832:INFO:Product ID: 180, Score: 37
2024-05-28 12:59:23,832:INFO:Product ID: 181, Score: 25
2024-05-28 12:59:23,832:INFO:Product ID: 182, Score: 42
2024-05-28 12:59:23,832:INFO:Product ID: 183, Score: 162
2024-05-28 12:59:23,832:INFO:Product ID: 184, Score: 168
2024-05-28 12:59:23,833:INFO:Product ID: 185, Score: 164
2024-05-28 12:59:23,833:INFO:Product ID: 186, Score: 8
2024-05-28 12:59:23,833:INFO:Product ID: 187, Score: 168
2024-05-28 12:59:23,833:INFO:Product ID: 188, Score: 25
2024-05-28 12:59:23,833:INFO:Product ID: 189, Score: 28
2024-05-28 12:59:23,833:INFO:Product ID: 190, Score: 42
2024-05-28 12:59:23,833:INFO:Product ID: 191, Score: 42
2024-05-28 12:59:23,833:INFO:Product ID: 192, Score: 162
2024-05-28 12:59:23,833:INFO:Product ID: 193, Score: 28
2024-05-28 12:59:23,834:INFO:Product ID: 194, Score: 162
2024-05-28 12:59:23,834:INFO:Product ID: 195, Score: 39
2024-05-28 12:59:23,834:INFO:Product ID: 196, Score: 25
2024-05-28 12:59:23,834:INFO:Product ID: 197, Score: 162
2024-05-28 12:59:23,834:INFO:Product ID: 198, Score: 10
2024-05-28 12:59:23,834:INFO:Product ID: 199, Score: 163
2024-05-28 12:59:23,834:INFO:Product ID: 200, Score: 7
2024-05-28 12:59:23,834:INFO:Product ID: 201, Score: 168
2024-05-28 12:59:23,834:INFO:Product ID: 202, Score: 28
2024-05-28 12:59:23,835:INFO:Product ID: 203, Score: 10
2024-05-28 12:59:23,835:INFO:Product ID: 204, Score: 2
2024-05-28 12:59:23,835:INFO:Product ID: 205, Score: 25
2024-05-28 12:59:23,835:INFO:Product ID: 206, Score: 38
2024-05-28 12:59:23,835:INFO:Product ID: 207, Score: 92
2024-05-28 12:59:23,835:INFO:Product ID: 208, Score: 39
2024-05-28 12:59:23,835:INFO:Product ID: 209, Score: 94
2024-05-28 12:59:23,836:INFO:Product ID: 210, Score: 33
2024-05-28 12:59:23,836:INFO:Product ID: 211, Score: 89
2024-05-28 12:59:23,836:INFO:Product ID: 212, Score: 45
2024-05-28 12:59:23,836:INFO:Product ID: 213, Score: 39
2024-05-28 12:59:23,836:INFO:Product ID: 214, Score: 89
2024-05-28 12:59:23,836:INFO:Product ID: 215, Score: 92
2024-05-28 12:59:23,836:INFO:Product ID: 216, Score: 32
2024-05-28 12:59:23,836:INFO:Product ID: 217, Score: 57
2024-05-28 12:59:23,836:INFO:Product ID: 218, Score: 37
2024-05-28 12:59:23,836:INFO:Product ID: 219, Score: 94
2024-05-28 12:59:23,837:INFO:Product ID: 220, Score: 25
2024-05-28 12:59:23,837:INFO:Product ID: 221, Score: 28
2024-05-28 12:59:23,837:INFO:Product ID: 222, Score: 34
2024-05-28 12:59:23,837:INFO:Product ID: 223, Score: 25
2024-05-28 12:59:23,837:INFO:Product ID: 224, Score: 34
2024-05-28 12:59:23,837:INFO:Product ID: 225, Score: 25
2024-05-28 12:59:23,837:INFO:Product ID: 226, Score: 23
2024-05-28 12:59:23,837:INFO:Product ID: 227, Score: 30
2024-05-28 12:59:23,837:INFO:Product ID: 228, Score: 28
2024-05-28 12:59:23,838:INFO:Product ID: 229, Score: 22
2024-05-28 12:59:23,838:INFO:Product ID: 230, Score: 19
2024-05-28 12:59:23,838:INFO:Product ID: 231, Score: 28
2024-05-28 12:59:23,838:INFO:Product ID: 232, Score: 19
2024-05-28 12:59:23,838:INFO:Product ID: 233, Score: 28
2024-05-28 12:59:23,838:INFO:Product ID: 234, Score: 22
2024-05-28 12:59:23,838:INFO:Product ID: 235, Score: 24
2024-05-28 12:59:23,838:INFO:Product ID: 236, Score: 37
2024-05-28 12:59:23,838:INFO:Product ID: 237, Score: 36
