deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6) Full HD Display", Metal Body, Steel Gray, 1.59 Kg",https://www.amazon.in/Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.dyse93q14eJCojM6VESlwTcq-0cuC2zkmZUSpQdAHWARBn2Y6TpwjGJLpvHg4mlvmKOxtnkqgcvnGceNwW22UwhjstiXTAA3NOQJDxipjTboariOhVEafGUBbDUuSKSv4kuIYjCyAov6T6cVdR-QmZZfxOkv5stmB_vX_eohyni7-nMAH22oi70xb7bbBHGaBRTUZSh-K1l-PZWf-7q27SB54clPlDwIRY2h59nb6TpopaUljL88Vd1D51ry2wcLUXxD2JA8k41xjw6tQhb5jdTQ9IwddkVKNUeKcPRWa6I.FGmZGf2JooHSVbWq5_MU2Mcr-P42DVL8NtYXilFUZlw&dib_tag=se&qid=1716143940&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-4,4,726,52990,32900,38,20090,"['Upto ₹1,481.46 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹1,481.46 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Switch to Flash.co email id & get Rs 250/- Amazon Pay cashbackSwitch to Flash.co email id & get Rs 250/- Amazon Pay…']",Computers & Accessories,Laptops,Traditional Laptops,,,,,"['Computers & Accessories', 'Laptops', 'Traditional Laptops']","Powerful Productivity: 12th Generation Intel Core i3-1215U Dual Core processor delivers unmatched speed and intelligence, enabling impressive creating, productivity, and gaming experiences. With Turbo Boost Technology, get up to 4.4GHz for your high-demand applications. Connectivity Technology: Wi-Fi, Bluetooth, HDMI Visibly Stunning: Experience sharp details and crisp colors on the 15.6 Full HD display", 16:9 aspect ratio, ultra-slim design and narrow bezels. Internal Specifications: RAM - 8 GB of Dual-channel DDR4, 2 SODIMM sockets; Storage - 512 GB SSD NVMe solid-state drive storage (expandable up to 1TB) to store your files and media Ports: one Type-C port, two USB 2.0 Type-A port, and one USB 3.2 Type-A port. Keyboard: 100-/101-/104-key keyboard with independent numeric keypad, international language support",None,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Acid Eye SH-12 White headphone Smart Headphones  (Wireless),https://www.flipkart.com/acid-eye-sh-12-white-headphone-smart-headphones/p/itmeve56qfusb85g?pid=SMHEVE564QPG3ZC2&lid=LSTSMHEVE564QPG3ZC2Y4BSS0&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&srno=s_1_24&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHEVE564QPG3ZC2.SEARCH&ppt=pp&ppn=pp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,3.3,13,3982,749,81,3233,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Partner Offer', 'description': 'Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*'}]",Wearable Smart Devices,Smart Headphones,Acid Eye Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'Acid Eye Smart Headphones']",,"[{'rating': '5', 'comment_text': 'best voice output is really like this product no problems in this thing is love this productREAD MORE'}, {'rating': '1', 'comment_text': 'The headphones were broken..very cheap quality ..I need a refund Dont buy thisREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,AIRSKY Motorcycle Helmet Dual Earphone Helmet Bluetooth Music & Calling Smart Headphones  (Wireless),https://www.flipkart.com/airsky-motorcycle-helmet-dual-earphone-bluetooth-music-calling-smart-headphones/p/itm11aa87b37cb97?pid=SMHGUYRCZ7EZMMQZ&lid=LSTSMHGUYRCZ7EZMMQZYJIPSQ&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&srno=s_1_18&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGUYRCZ7EZMMQZ.SEARCH&ppt=pp&ppn=pp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,4.2,6,3599,1686,53,1913,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 11% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Headphones,AIRSKY Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'AIRSKY Smart Headphones']",,"[{'rating': '1', 'comment_text': 'Product is good but service is worstREAD MORE'}, {'rating': '5', 'comment_text': 'NiceREAD MORE'}, {'rating': '5', 'comment_text': 'Good quality products....READ MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray",https://www.amazon.in/MagicBook-i5-12450H-Anti-Glare-Full-Size-Keyboard/dp/B0CRQB4HBP/ref=sr_1_24?dib=eyJ2IjoiMSJ9.dyse93q14eJCojM6VESlwTcq-0cuC2zkmZUSpQdAHWARBn2Y6TpwjGJLpvHg4mlvmKOxtnkqgcvnGceNwW22UwhjstiXTAA3NOQJDxipjTboariOhVEafGUBbDUuSKSv4kuIYjCyAov6T6cVdR-QmZZfxOkv5stmB_vX_eohyni7-nMAH22oi70xb7bbBHGaBRTUZSh-K1l-PZWf-7q27SB54clPlDwIRY2h59nb6TpopaUljL88Vd1D51ry2wcLUXxD2JA8k41xjw6tQhb5jdTQ9IwddkVKNUeKcPRWa6I.FGmZGf2JooHSVbWq5_MU2Mcr-P42DVL8NtYXilFUZlw&dib_tag=se&qid=1716143940&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-24,4.1,360,77999,50271,36,27728,"['Upto ₹2,263.64 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹2,263.64 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Switch to Flash.co email id & get Rs 250/- Amazon Pay cashbackSwitch to Flash.co email id & get Rs 250/- Amazon Pay…']",Computers & Accessories,Laptops,Traditional Laptops,,,,,"['Computers & Accessories', 'Laptops', 'Traditional Laptops']","【Fast Speed Laptop】 12th Gen Intel Core i5-12450H Processor, 2.0 GHz base speed, 4.4 GHz Max Speed, 8 Cores, 12 Threads | Intel UHD Graphics. 16GB LPDDR4x RAM & 512GB PCIe NVMe SSD, making it a perfect buy for your office and study needs 【 Stylish Appearance】Honor Magicbook X16 (2024) has premium aluminium metal body with 17.9MM thickness, 4.5 MM side Narrow Bezels and 1.68kg weight, which allows you to carry it easily, making it convenient for travel and work 【 65W Type-C Fast Charging 】The laptop comes with 65W Type-C Power Adapter. The power adapter supports multi-device charge & weighs only 200 grams 【Eye Comfort Mode】With 16” FHD Full HD IPS Anti-Glare Screen the MagicBook supports TÜV Rheinland Low Blue Light Certification, and Flicker Free Certification. It Protects your eyes at all times, which will no longer be fatigued when working 【 Webcam 】It comes with 720P HD Webcam that allows you to click pictures, record videos, do video conferencing and display presentation 【Operating System】 Pre-Loaded Windows 11 Home 64-bit 【 Multi–Purpose Type-C Connector 】 The Type C Port - support charging & data transfer (up to 10Gbps) / Reverse Charging (Max External power supply 5V/2A) / Display output",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,"TeachBeat AirPods Pro (2nd generation) with Active Noise Cancellation, Spatial Audio Smart Headphones  (Wireless)",https://www.flipkart.com/teachbeat-airpods-pro-2nd-generation-active-noise-cancellation-spatial-audio-smart-headphones/p/itm4c30e9c929708?pid=SMHGUYQGXTHNGG5Q&lid=LSTSMHGUYQGXTHNGG5QPSPYEA&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&spotlightTagId=BestsellerId_ajy%2Fvam&srno=s_1_11&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGUYQGXTHNGG5Q.SEARCH&ppt=sp&ppn=sp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,3.6,127,22999,1156,94,21843,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 14% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Headphones,TeachBeat Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'TeachBeat Smart Headphones']",,"[{'rating': '4', 'comment_text': I've only been using it for a week now", to say that it's stil very good. Nothing too much to say .The only thing i'm soo sad about is that it doesn't hav a charger adapter. Everything else is fine 😃👍READ MORE"}, {'rating': '5', 'comment_text': 'Good protectREAD MORE'}, {'rating': '5', 'comment_text': 'Best qualityREAD MORE'}, {'rating': '1', 'comment_text': 'Worest airpods sound not clear No chargingREAD MORE'}, {'rating': '5', 'comment_text': 'Excellent product..READ MORE'}, {'rating': '5', 'comment_text': 'Very good product 😁 awesome.READ MORE'}, {'rating': '1', 'comment_text': 'Good productREAD MORE'}, {'rating': '5', 'comment_text': 'GoodREAD MORE'}, {'rating': '5', 'comment_text': '💞 supervision 🤗READ MORE'}, {'rating': '5', 'comment_text': 'Original airpod pro 2nd lovely 😍 productREAD MORE'}]",,,,,,,,,,,,,,,,
298,"wishmechstore i12 TWS 5.0 Earphones Wireless Bluetooth Latest Headset with mic , Charging Case Smart Headphones  (Wireless)",https://www.flipkart.com/wishmechstore-i12-tws-5-0-earphones-wireless-bluetooth-latest-headset-mic-charging-case-smart-headphones/p/itm6505b940e883f?pid=SMHGUJYYMCPKXZFU&lid=LSTSMHGUJYYMCPKXZFUMWMV4X&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&srno=s_1_1&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGUJYYMCPKXZFU.SEARCH&ppt=pp&ppn=pp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,3.7,30,999,333,66,666,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 12% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Headphones,wishmechstore Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'wishmechstore Smart Headphones']",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Edyell Helmet Bluetooth Headsets (MBH-C5001) Smart Headphones  (Wireless),https://www.flipkart.com/edyell-helmet-bluetooth-headsets-mbh-c5001-smart-headphones/p/itmd4c8663a21126?pid=SMHGYYVAJ55GZNXY&lid=LSTSMHGYYVAJ55GZNXYNYQ57R&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&spotlightTagId=TrendingId_ajy%2Fvam&srno=s_1_33&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGYYVAJ55GZNXY.SEARCH&ppt=sp&ppn=sp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,3.9,7,5999,1875,68,4124,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 24% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Headphones,Edyell Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'Edyell Smart Headphones']",,"[{'rating': '3', 'comment_text': 'Nice but not water proofREAD MORE'}, {'rating': '4', 'comment_text': 'Build quantity is excellent 4.7 rating Sound quality is good 3.5 rating Battery capacity very good 4.3 rating More over its a good productREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_10?dib=eyJ2IjoiMSJ9.dyse93q14eJCojM6VESlwTcq-0cuC2zkmZUSpQdAHWARBn2Y6TpwjGJLpvHg4mlvmKOxtnkqgcvnGceNwW22UwhjstiXTAA3NOQJDxipjTboariOhVEafGUBbDUuSKSv4kuIYjCyAov6T6cVdR-QmZZfxOkv5stmB_vX_eohyni7-nMAH22oi70xb7bbBHGaBRTUZSh-K1l-PZWf-7q27SB54clPlDwIRY2h59nb6TpopaUljL88Vd1D51ry2wcLUXxD2JA8k41xjw6tQhb5jdTQ9IwddkVKNUeKcPRWa6I.FGmZGf2JooHSVbWq5_MU2Mcr-P42DVL8NtYXilFUZlw&dib_tag=se&qid=1716143940&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-10,4.7,4944,92900,73990,20,18910,"['Upto ₹5,000.00 discount on select Credit CardsUpto ₹5,000.00 discount on select Credit Cards', 'Upto ₹3,331.65 EMI interest savings on select Credit CardsUpto ₹3,331.65 EMI interest savings on select Credit Cards', 'Switch to Flash.co email id & get Rs 250/- Amazon Pay cashbackSwitch to Flash.co email id & get Rs 250/- Amazon Pay…']",,,,,,,,[],"All-Day Battery Life – Go longer than ever with up to 18 hours of battery life. Powerful Performance – Take on everything from professional-quality editing to action-packed gaming with ease. The Apple M1 chip with an 8-core CPU delivers up to 3.5x faster performance than the previous generation while using way less power. Superfast Memory – 8GB of unified memory makes your entire system speedy and responsive. That way it can support tasks like memory-hogging multitab browsing and opening a huge graphic file quickly and easily. Stunning Display – With a 13.3-inch/33.74 cm Retina display, images come alive with new levels of realism. Text is sharp and clear, and colors are more vibrant. Why Mac – Easy to learn. Easy to set up. Astoundingly powerful. Intuitive. Packed with apps to use right out of the box. Mac is designed to let you work, play, and create like never before.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6 (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg), 82RK00VTIN",https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Warranty-82RK006DIN/dp/B0B4JPC8GT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.dyse93q14eJCojM6VESlwTcq-0cuC2zkmZUSpQdAHWARBn2Y6TpwjGJLpvHg4mlvmKOxtnkqgcvnGceNwW22UwhjstiXTAA3NOQJDxipjTboariOhVEafGUBbDUuSKSv4kuIYjCyAov6T6cVdR-QmZZfxOkv5stmB_vX_eohyni7-nMAH22oi70xb7bbBHGaBRTUZSh-K1l-PZWf-7q27SB54clPlDwIRY2h59nb6TpopaUljL88Vd1D51ry2wcLUXxD2JA8k41xjw6tQhb5jdTQ9IwddkVKNUeKcPRWa6I.FGmZGf2JooHSVbWq5_MU2Mcr-P42DVL8NtYXilFUZlw&dib_tag=se&qid=1716143940&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-3,4.1,250,65000,33800,48,31200,"['Upto ₹1,521.99 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹1,521.99 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Switch to Flash.co email id & get Rs 250/- Amazon Pay cashbackSwitch to Flash.co email id & get Rs 250/- Amazon Pay…']",Computers & Accessories,Laptops,Traditional Laptops,,,,,"['Computers & Accessories', 'Laptops', 'Traditional Laptops']","Processor: 12th Gen Intel Core i3-1215U | Speed: 6Cores (2P + 4E) [P-core 1.2/4.4GHz, E-core 0.9/3.3GHz] | 8Threads | 10MB Cache Display: 15.6 FHD (1920x1080) | TN | 250nits Brigthness | Anti-glare OS and Software: Windows 11 Home 64 | Office Home and Student 2021 | Xbox GamePass Ultimate 3-month subscription Graphics: Integrated Intel UHD Graphics || Memory: 8GB DDR4-3200 | upgradable Up to 16GB || Storage: 512 GB SSD Design: 1.99 cm Thin and 1.63 kg Light | Non-backlit Keyboard | 4 Side Narrow Bezel Battery Life: 45Wh | Upto 5 Hours | Rapid Charge (get 2 hours of runtime with a 15-minute charge) || Connectivity: Wi-Fi 6 (11ax | 2x2) | Bluetooth: BT5.1 Camera: HD 720p with Privacy Shutter | Fixed Focus | Integrated Dual Array Microphone || Audio: 2x 1.5W Stereo Speakers | HD Audio | Dolby Audio Ports: 1x USB-A 2.0 | 1x USB-A 3.2 Gen 1 | 1x USB-C 3.2 Gen 1 (Data transfer", Power Delivery 3.0 & DisplayPort 1.2) | 1x HDMI 1.4b | 1x Card reader (SD, SDHC, SDXC, MMC) | 1x Headphone/mic combo jack (3.5mm)",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,"ASUS Vivobook 15, Intel Core i3-1220P 12th Gen, 15.6 (39.62 cm) FHD", Thin and Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Alexa Built-in/FP Sensor/Blue/1.7 kg), X1502ZA-EJ381WS",https://www.amazon.in/ASUS-Vivobook-i3-1220P-Integrated-X1502ZA-EJ381WS/dp/B0BLP23H71/ref=sr_1_5?dib=eyJ2IjoiMSJ9.dyse93q14eJCojM6VESlwTcq-0cuC2zkmZUSpQdAHWARBn2Y6TpwjGJLpvHg4mlvmKOxtnkqgcvnGceNwW22UwhjstiXTAA3NOQJDxipjTboariOhVEafGUBbDUuSKSv4kuIYjCyAov6T6cVdR-QmZZfxOkv5stmB_vX_eohyni7-nMAH22oi70xb7bbBHGaBRTUZSh-K1l-PZWf-7q27SB54clPlDwIRY2h59nb6TpopaUljL88Vd1D51ry2wcLUXxD2JA8k41xjw6tQhb5jdTQ9IwddkVKNUeKcPRWa6I.FGmZGf2JooHSVbWq5_MU2Mcr-P42DVL8NtYXilFUZlw&dib_tag=se&qid=1716143940&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-5,4,609,60990,39990,34,21000,"['Upto ₹1,800.70 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹1,800.70 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'ASUS Back to School [Warranty Extended Plan OFFER]ASUS Back to School [Warranty Extended Plan OFFER]']",Computers & Accessories,Laptops,Traditional Laptops,,,,,"['Computers & Accessories', 'Laptops', 'Traditional Laptops']","Processor: 12th Gen Intel Core i3-1220P Processor 1.1 GHz (12M Cache, up to 4.4 GHz, 10 cores);Memory: 8GB DDR4 on board 3200MHz with | Storage: 512GB M.2 NVMe PCIe 3.0 SSD Display: 15.6-inch (39.62cm), FHD (1920 x 1080) 16:9 aspect ratio, 220nits, 60Hz refresh rate, 45% NTSC color gamut, Anti-glare display;Graphics: Integrated Intel UHD Graphics Operating System: Windows 11 Home with Lifetime validity | Software Included: Office Home and Student 2021 included with Lifetime validity;Design: 1.80 ~ 1.84 cm Thin | 1.70 kg weight | Thin and Light Laptop | 42WHrs, 3S1P, 3-cell Li-ion | Up to 6 hours battery life ;Note: Battery life depends on conditions of usage Keyboard: Chiclet Keyboard;I/O Port: 1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4, 1x 3.5mm Combo Audio Jack, 1x DC-in; Other: VGA camera | Wi-Fi 5(802.11ac) (Dual band) 1*1 + Bluetooth 4.1 | Audio by ICEpower, Built-in speaker, Built-in microphone | with Cortana support | US MIL-STD 810H military-grade standard Battery Average Life: 8.0Hours",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Lenovo LOQ 12th Gen Intel Core i5-12450HX 15.6 (39.6cm) 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 3050 6GB Graphics/100% sRGB/Office 21/3 Mon Game Pass/Grey/2.4Kg), 83GS003UIN",https://www.amazon.in/Lenovo-i5-12450HX-300Nits-Graphics-83GS003UIN/dp/B0CX8XPKWJ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.dyse93q14eJCojM6VESlwTcq-0cuC2zkmZUSpQdAHWARBn2Y6TpwjGJLpvHg4mlvmKOxtnkqgcvnGceNwW22UwhjstiXTAA3NOQJDxipjTboariOhVEafGUBbDUuSKSv4kuIYjCyAov6T6cVdR-QmZZfxOkv5stmB_vX_eohyni7-nMAH22oi70xb7bbBHGaBRTUZSh-K1l-PZWf-7q27SB54clPlDwIRY2h59nb6TpopaUljL88Vd1D51ry2wcLUXxD2JA8k41xjw6tQhb5jdTQ9IwddkVKNUeKcPRWa6I.FGmZGf2JooHSVbWq5_MU2Mcr-P42DVL8NtYXilFUZlw&dib_tag=se&qid=1716143940&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-11,4.2,14,95890,69990,27,25900,"['Upto ₹2,099.70 discount on select Credit CardsUpto ₹2,099.70 discount on select Credit Cards', 'Upto ₹10,429.85 EMI interest savings on select Credit Cards, HDFC Bank Debit CardsUpto ₹10,429.85 EMI interest savings on select Credit Ca…', 'Switch to Flash.co email id & get Rs 250/- Amazon Pay cashbackSwitch to Flash.co email id & get Rs 250/- Amazon Pay…']",Computers & Accessories,Laptops,Traditional Laptops,,,,,"['Computers & Accessories', 'Laptops', 'Traditional Laptops']","Ready to make the transition to the gaming PC world? Look no further than the Lenovo LOQ 15IAX9, the best bang for your buck gaming PC. It's packed with all the essential components you need for intensive gameplay and a heavy school workload without the extra cost of fancy bells and whistles. Powered by 12th Gen Intel i5 Core processors and NVDIA RTX 3050 this laptop offers a remarkable blend of gaming performance and afordability. Its brand-new hyperchamber design keeps it cool, while the slim profile enhances portability. Ample memory and storage, along with upgrade options, ensure your laptop stays future-proof. Plus, it meets MIL-STD 810H durability standards, ensuring it can handle the demands of daily life. It's the ultimate value proposition, delivering the essentials you need for immersive gameplay and schoolwork without breaking the bank.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,"HP Laptop 15, 13th Gen Intel Core i3-1315U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Thin & Light, Intel Iris Xᵉ Graphics, Dual Speakers (Win 11, MSO 2021, Silver, 1.59 kg), fd0006TU",https://www.amazon.in/HP-i3-1315U-15-6-inch-Graphics-Speakers/dp/B0C3RF3HT3/ref=sr_1_8?dib=eyJ2IjoiMSJ9.dyse93q14eJCojM6VESlwTcq-0cuC2zkmZUSpQdAHWARBn2Y6TpwjGJLpvHg4mlvmKOxtnkqgcvnGceNwW22UwhjstiXTAA3NOQJDxipjTboariOhVEafGUBbDUuSKSv4kuIYjCyAov6T6cVdR-QmZZfxOkv5stmB_vX_eohyni7-nMAH22oi70xb7bbBHGaBRTUZSh-K1l-PZWf-7q27SB54clPlDwIRY2h59nb6TpopaUljL88Vd1D51ry2wcLUXxD2JA8k41xjw6tQhb5jdTQ9IwddkVKNUeKcPRWa6I.FGmZGf2JooHSVbWq5_MU2Mcr-P42DVL8NtYXilFUZlw&dib_tag=se&qid=1716143940&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-8,4.1,1872,54552,40090,27,14462,"['Upto ₹1,806.27 EMI interest savings on select Credit Cards, HDFC Bank Debit CardsUpto ₹1,806.27 EMI interest savings on select Credit Cards…', 'Upto ₹2,500.00 discount on select Credit CardsUpto ₹2,500.00 discount on select Credit Cards', 'Switch to Flash.co email id & get Rs 250/- Amazon Pay cashbackSwitch to Flash.co email id & get Rs 250/- Amazon Pay…']",Computers & Accessories,Laptops,Traditional Laptops,,,,,"['Computers & Accessories', 'Laptops', 'Traditional Laptops']","?6-core 13th Gen Intel Core i3-1315U?Experience versatile computing with 8 threads and 10MB L3 cache, delivering a perfect blend of performance and power for demanding tasks.;?Intel UHD graphics?Immerse yourself in a seamless visual experience with Intel UHD graphics, ensuring speedy and efficient performance for various applications. ?Upgraded memory and storage?Run multiple programs effortlessly with 8GB DDR4 RAM, while the high-speed 512GB PCIe NVMe M.2 SSD helps you boot up in seconds, enhancing daily usability.;?Micro-edge display?Experience vibrant visuals on the 15.6-inch FHD, micro-edge display. The anti-glare panel and 250-nit brightness combine for a captivating viewing experience. ?Long battery life?Swiftly power up from 0% to 50% in just 45 minutes with HP Fast Charge. The 3-cell, 41Wh battery ensures worry-free usage for up to 7 hours and 45 minutes.;?Pre-loaded Win 11 and MS Office?Comes with Win 11 and MS Office 2021. To activate your MS Office, sign in or sign up, and follow the Office Activation Wizard. ?Effortless connectivity?Wi-Fi 6 (2x2) and Bluetooth 5.3 deliver a seamless and fast connection. Plug in all that you need with 1 x USB Type-C, 2 x USB Type-A, and 1 x HDMI 2.1 ports.;?Business conferencing?HP True Vision 1080p Full HD camera is crafted for effortless collaboration with a manual privacy shutter, advanced noise reduction, and dual speakers.; ?Why HP?Experience the unparalleled advantages of choosing HP, the most preferred and trusted PC brand by Indians, empowering you with cutting-edge technology and steadfast dependability.;?Sustainably made?Choose an environmentally conscious laptop with recycled plastics, EPEAT Silver registration, and ENERGY STAR certification. Battery Average Life: 9 hours; Model: 15-Fd0006tu",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
